song_title,pipe_delimited_artist_list,love_song_category,top_10_debut_date_as_decimal,total_weeks_in_top_10
"Where The Boys Are","Connie Francis",Pursuit,1961.16,5
"Baby Sittin' Boogie","Buzz Clifford",,1961.18,3
"Spanish Harlem","Ben E. King",,1961.2,1
"Apache","Jorgen Ingmann & His Guitar",,1961.22,5
"Walk Right Back","The Everly Brothers",Heartache,1961.22,4
"Gee Whiz (Look At His Eyes)","Carla Thomas",Pursuit,1961.23,1
"Blue Moon","The Marcels",Serenade,1961.23,8
"Runaway","Del Shannon",Heartache,1961.25,9
"But I Do","Clarence Henry",Serenade,1961.25,5
"On The Rebound","Floyd Cramer",,1961.25,6
"Mother-In-Law","Ernie K-Doe",,1961.27,8
"Asia Minor","Kokomo",,1961.29,1
"A Hundred Pounds Of Clay","Gene McDaniels",Serenade,1961.29,8
"Take Good Care Of Her","Adam Wade",Heartache,1961.31,4
"I've Told Every Little Star","Linda Scott",Heartache,1961.31,5
"You Can Depend On Me","Brenda Lee",Serenade,1961.31,4
"One Mint Julep","Ray Charles",,1961.31,3
"Portrait Of My Love","Steve Lawrence",Serenade,1961.35,1
"Daddy's Home","Shep And The Limelites",Serenade,1961.37,4
"Travelin' Man","Ricky Nelson",Sexual Confidence,1961.37,8
"Mama Said","The Shirelles",,1961.37,4
"Running Scared","Roy Orbison",It's Complicated,1961.39,4
"Breakin' In A Brand New Broken Heart","Connie Francis",Heartache,1961.39,3
"Hello Mary Lou","Ricky Nelson",Serenade,1961.39,1
"Tragedy","The Fleetwoods",Heartache,1961.41,1
"I Feel So Bad","Elvis Presley",Heartache,1961.41,3
"Raindrops","Dee Clark",Heartache,1961.43,8
"Moody River","Pat Boone",,1961.43,6
"Stand By Me","Ben E. King",It's Complicated,1961.43,8
"Every Beat Of My Heart","Pips",Serenade,1961.45,6
"The Boll Weevil Song","Brook Benton",,1961.45,8
"The Writing On The Wall","Adam Wade",Heartache,1961.45,5
"Quarter To Three","U.S. Bonds",,1961.45,8
"Those Oldies But Goodies (Remind Me Of You)","Little Caesar and The Romans",Heartache,1961.46,3
"Tossin' And Turnin'","Bobby Lewis",Heartache,1961.46,12
"Yellow Bird","Arthur Lyman Group",,1961.5,5
"Dance On Little Girl","Paul Anka",,1961.52,1
"Hats Off To Larry","Del Shannon",Good Riddance,1961.52,5
"Dum Dum","Brenda Lee",Pursuit,1961.54,6
"San Antonio Rose","Floyd Cramer",,1961.54,1
"I Like It Like That, Part 1","Chris Kenner",,1961.54,7
"Let's Twist Again","Chubby Checker",,1961.56,5
"Together","Connie Francis",Heartache,1961.56,4
"Last Night","Mar-Keys",,1961.58,5
"Pretty Little Angel Eyes","Curtis Lee",Serenade,1961.6,4
"Wooden Heart","Joe Dowell",Serenade,1961.6,7
"Michael","The Highwaymen",,1961.6,9
